Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
127.0.0.0       0.0.0.0         255.0.0.0       U         0 0          0 lo
127.0.0.1       0.0.0.0         255.255.255.255 U         0 0          0 lo
127.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
127.0.0.0       0.0.0.0         255.0.0.0       U         0 0          0 lo
127.0.0.1       0.0.0.0         255.255.255.255 U         0 0          0 lo
127.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 wifi0
0.0.0.0         192.168.195.117 255.255.255.255 U         0 0          0 wifi0
192.168.195.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
192.168.195.0   0.0.0.0         255.255.255.0   U         0 0          0 wifi0
192.168.195.133 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
127.0.0.0       0.0.0.0         255.0.0.0       U         0 0          0 lo
127.0.0.1       0.0.0.0         255.255.255.255 U         0 0          0 lo
127.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 wifi0
0.0.0.0         192.168.195.117 255.255.255.255 U         0 0          0 wifi0
192.168.195.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
192.168.195.0   0.0.0.0         255.255.255.0   U         0 0          0 wifi0
192.168.195.133 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
127.0.0.0       0.0.0.0         255.0.0.0       U         0 0          0 lo
127.0.0.1       0.0.0.0         255.255.255.255 U         0 0          0 lo
127.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 wifi0
0.0.0.0         192.168.195.117 255.255.255.255 U         0 0          0 wifi0
192.168.195.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
192.168.195.0   0.0.0.0         255.255.255.0   U         0 0          0 wifi0
192.168.195.133 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
127.0.0.0       0.0.0.0         255.0.0.0       U         0 0          0 lo
127.0.0.1       0.0.0.0         255.255.255.255 U         0 0          0 lo
127.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 wifi0
0.0.0.0         192.168.195.117 255.255.255.255 U         0 0          0 wifi0
192.168.195.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
192.168.195.0   0.0.0.0         255.255.255.0   U         0 0          0 wifi0
192.168.195.133 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
127.0.0.0       0.0.0.0         255.0.0.0       U         0 0          0 lo
127.0.0.1       0.0.0.0         255.255.255.255 U         0 0          0 lo
127.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 wifi0
0.0.0.0         192.168.195.117 255.255.255.255 U         0 0          0 wifi0
192.168.195.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
192.168.195.0   0.0.0.0         255.255.255.0   U         0 0          0 wifi0
192.168.195.133 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
